w,index,AQI,latitude,longitude
1.0,0,45.4341736,,
2.0,0,45.3417364,,
3.0,0,46.3124244,,
4.0,0,46.4804127,,
5.0,0,46.7421981,,
6.0,0,45.4341736,,
7.0,0,45.3901828,,
8.0,0,47.2981239,,
9.0,0,46.1736213,,
10.0,0,50.849144,,
11.0,0,50.890120,,
12.0,0,46.872137,,
13.0,0,45.601921,,
14.0,0,45.998172,,
15.0,0,47.891273,,
16.0,0,49.881723,,
17.0,0,50.999123,,
18.0,0,50.991821,,
19.0,0,50.419908,,
20.0,0,44.479899,,
21.0,0,44.579879,,
22.0,0,40.580901,,
23.0,0,40.689027,,
24.0,0,44.998827,,
25.0,0,50.149831,,
26.0,0,50.430981,,
27.0,17,50.434173,34.669739,-118.13051100000001
28.0,0,50.324344,,
29.0,0,50.023142,,
30.0,0,49.809182,,
31.0,0,39.789312,,
32.0,0,40.761291,,
33.0,0,37.765132,,
34.0,0,39.771431,,
35.0,0,40.613219,,
36.0,0,48.620981,,
37.0,0,49.899182,,
38.0,0,50.871623,,
39.0,0,51.870918,,
40.0,0,50.861239,,
41.0,0,47.839481,,
42.0,0,46.829819,,
43.0,0,36.744391,,
44.0,0,37.788712,,
45.0,0,36.767712,,
46.0,0,38.749981,,
47.0,0,38.744292,,
48.0,0,50.731279,,
49.0,0,50.729819,,
50.0,0,51.826671,,
51.0,0,50.829819,,
52.0,0,49.726354,,
53.0,0,49.729819,,
54.0,0,48.698194,,
55.0,0,49.693392,,
56.0,0,49.887947,,
57.0,0,34.887947,,
58.0,0,34.985808,,
59.0,0,35.698213,,
60.0,0,36.690813,,
61.0,0,35.687809,,
62.0,0,40.687942,,
63.0,0,50.678923,,
64.0,0,51.677947,,
65.0,0,52.675802,,
66.0,0,50.534234,,
67.0,0,51.897712,,
68.0,0,50.687629,,
69.0,0,50.784797,,
70.0,0,50.609819,,
71.0,0,48.590871,,
72.0,0,49.989128,,
73.0,0,48.668913,,
74.0,0,49.709878,,
75.0,0,34.398728,,
76.0,0,35.692839,,
77.0,0,34.591839,,
78.0,0,34.817829,,
79.0,0,34.892819,,
80.0,0,34.679282,,
81.0,0,48.581982,,
82.0,0,42.979209,,
83.0,0,43.191829,,
84.0,0,43.187928,,
85.0,0,42.987918,,
86.0,0,43.197287,,
87.0,0,42.698728,,
88.0,0,41.979282,,
89.0,0,47.687947,,
90.0,0,48.298198,,
91.0,0,52.349829,,
92.0,0,51.987192,,
93.0,0,49.879102,,
94.0,0,36.782938,,
95.0,0,35.287182,,
96.0,0,38.789281,,
97.0,0,41.987121,,
98.0,0,51.789281,,
99.0,0,53.587189,,
100.0,0,51.389247,,
101.0,0,48.987182,,
102.0,0,49.788192,,
103.0,0,48.768287,,
104.0,0,47.768287,,
105.0,8,40.994520,34.067029999999995,-117.7514
106.0,11,60.727528,34.14435,-117.85036000000001
107.0,10,55.765193,34.136500000000005,-117.92391
108.0,0,57.581738,,
109.0,0,55.897828,,
110.0,0,53.788291,,
111.0,0,55.571927,,
112.0,0,48.392898,,
113.0,0,54.891827,,
114.0,0,54.291832,,
115.0,0,52.789182,,
116.0,0,53.891278,,
117.0,0,52.948923,,
118.0,0,52.893298,,
119.0,0,53.293891,,
120.0,0,53.987292,,
121.0,0,54.681729,,
122.0,0,55.498291,,
123.0,0,56.898172,,
124.0,0,58.489287,,
125.0,0,58.672378,,
126.0,0,59.568126,,
127.0,0,59.986293,,
128.0,0,60.998719,,
129.0,15,62.506963,34.38344,-118.5284
130.0,0,62.891372,,
131.0,0,60.619282,,
132.0,0,53.309813,,
133.0,0,53.298018,,
134.0,0,52.892819,,
135.0,0,53.506963,,
136.0,9,52.903846,34.132600000000004,-118.1272
137.0,0,52.972818,,
138.0,0,51.679173,,
139.0,0,54.109328,,
140.0,0,55.963129,,
141.0,0,56.902903,,
142.0,0,55.582802,,
143.0,0,56.284192,,
144.0,0,44.592091,,
145.0,5,44.145604,34.010290000000005,-118.0685
146.0,0,40.391029,,
147.0,7,35.991758,34.066590000000005,-118.22688000000001
148.0,0,36.578298,,
149.0,0,50.792038,,
150.0,0,52.827937,,
151.0,12,57.356545,34.19925,-118.53276000000001
152.0,0,57.681928,,
153.0,0,36.728918,,
154.0,0,37.690392,,
155.0,0,35.609182,,
156.0,0,35.829839,,
157.0,0,36.591829,,
158.0,0,37.492039,,
159.0,0,53.728394,,
160.0,0,52.490294,,
161.0,0,51.209389,,
162.0,0,53.392838,,
163.0,0,33.519298,,
164.0,0,35.492389,,
165.0,0,35.791828,,
166.0,0,35.782938,,
167.0,0,37.172898,,
168.0,6,40.719444,34.051109999999994,-118.45636
169.0,0,48.827381,,
170.0,0,47.981724,,
171.0,0,48.782928,,
172.0,0,33.298201,,
173.0,2,35.988987,33.901389,-118.205
174.0,0,35.781928,,
175.0,0,36.989189,,
176.0,4,39.076712,33.95507,-118.43049
177.0,0,47.729187,,
178.0,0,49.829289,,
179.0,0,48.389289,,
180.0,0,33.081298,,
181.0,0,32.448979,33.8025,-118.22
182.0,0,33.717928,,
183.0,0,32.782981,,
184.0,0,47.719287,,
185.0,0,46.689179,,
186.0,0,32.681927,,
187.0,0,32.897198,,
188.0,0,47.871827,,
189.0,0,46.981929,,

